city,latitude,longitude,datetime,crime_category
Birmingham,33.54399371,-86.75191358,2023-11-02 13:01:00,property
Birmingham,33.60992372,-86.68773282,2023-11-02 11:15:00,property
Birmingham,33.60159111,-86.67205179,2023-11-01 12:04:00,property
Birmingham,33.6627121,-86.68496905,2023-11-01 09:00:00,property
Birmingham,33.56365759,-86.71082648,2023-11-01 07:00:00,violent
Birmingham,33.55881046,-86.73091629,2023-11-01 01:15:00,property
Birmingham,33.52366002,-86.74797229,2023-10-31 20:15:00,property
Birmingham,33.57129626,-86.71674173,2023-10-31 20:00:00,property
Birmingham,33.56157724,-86.72523909,2023-10-31 19:07:00,property
Birmingham,33.64824382,-86.70568995,2023-10-31 12:45:00,violent
Birmingham,33.53693644,-86.76018888,2023-10-31 11:00:00,property
Birmingham,33.54157499,-86.74302789,2023-10-31 08:00:00,property
Birmingham,33.53881883,-86.72356972,2023-10-31 03:00:00,property
Birmingham,33.53326139,-86.73595044,2023-10-30 22:00:00,property
Birmingham,33.6169445,-86.73456264,2023-10-30 20:16:00,violent
Birmingham,33.55536937,-86.73090817,2023-10-30 20:00:00,property
Birmingham,33.55273126,-86.73739919,2023-10-30 18:45:00,property
Birmingham,33.55537489,-86.71887598,2023-10-30 15:30:00,property
Birmingham,33.60774229,-86.68440013,2023-10-30 09:20:00,property
Birmingham,33.53710614,-86.7235946,2023-10-30 09:00:00,property
Birmingham,33.58684419,-86.68381738,2023-10-30 08:00:00,property
Birmingham,33.51475372,-86.73771584,2023-10-30 06:00:00,property
Birmingham,33.58909011,-86.69659726,2023-10-30 05:00:00,violent
Birmingham,33.54083755,-86.75176962,2023-10-30 01:50:00,property
Birmingham,33.5451829,-86.74851757,2023-10-29 20:00:00,property
Birmingham,33.52672866,-86.71998272,2023-10-29 13:30:00,property
Birmingham,33.60824299,-86.68738042,2023-10-29 09:50:00,violent
Birmingham,33.58986507,-86.69723307,2023-10-29 07:18:00,violent
Birmingham,33.61992174,-86.70057871,2023-10-29 06:30:00,property
Birmingham,33.56511378,-86.78099687,2023-10-29 02:30:00,violent
Birmingham,33.5587162,-86.73422276,2023-10-28 21:00:00,property
Birmingham,33.61715032,-86.69522098,2023-10-28 20:30:00,property
Birmingham,33.58798122,-86.69214295,2023-10-28 16:00:00,property
Birmingham,33.57563756,-86.72018688,2023-10-28 16:00:00,property
Birmingham,33.55891042,-86.73529153,2023-10-28 13:00:00,property
Birmingham,33.5676139,-86.77987971,2023-10-28 12:30:00,property
Birmingham,33.60824299,-86.68738042,2023-10-28 01:00:00,property
Birmingham,33.52846776,-86.72003388,2023-10-27 19:15:00,property
Birmingham,33.66266228,-86.68769744,2023-10-27 17:30:00,property
Birmingham,33.56219341,-86.72495211,2023-10-27 13:30:00,property
Birmingham,33.61583447,-86.7293328,2023-10-27 12:00:00,violent
